Date,Open,High,Low,Close,Adj Close,Volume
2023-08-24,133.559998,133.559998,133.559998,133.559998,133.559998,0
2023-08-25,133.139999,133.139999,133.139999,133.139999,133.139999,0
2023-08-28,133.539993,133.539993,133.539993,133.539993,133.539993,0
2023-08-29,136.369995,136.369995,136.369995,136.369995,136.369995,0
2023-08-30,136.009995,136.009995,136.009995,136.009995,136.009995,0
2023-08-31,136.619995,136.619995,136.619995,136.619995,136.619995,0
2023-09-01,136.949997,136.949997,136.949997,136.949997,136.949997,0
2023-09-04,137.839996,137.839996,137.839996,137.839996,137.839996,0
2023-09-05,137.669998,137.669998,137.669998,137.669998,137.669998,0
2023-09-06,136.410004,136.410004,136.410004,136.410004,136.410004,0
2023-09-07,134.660004,134.660004,134.660004,134.660004,134.660004,0
2023-09-08,134.360001,134.360001,134.360001,134.360001,134.360001,0
2023-09-11,135.360001,135.360001,135.360001,135.360001,135.360001,0
2023-09-12,134.740005,134.740005,134.740005,134.740005,134.740005,0
2023-09-13,134.210007,134.210007,134.210007,134.210007,134.210007,0
2023-09-14,135.580002,135.580002,135.580002,135.580002,135.580002,0
2023-09-15,134.889999,134.889999,134.889999,134.889999,134.889999,0
2023-09-18,134.080002,134.080002,134.080002,134.080002,134.080002,0
2023-09-19,132.610001,132.610001,132.610001,132.610001,132.610001,0
2023-09-20,131.360001,131.360001,131.360001,131.360001,131.360001,0
2023-09-21,null,null,null,null,null,null
2023-09-22,129.570007,129.570007,129.570007,129.570007,129.570007,0
2023-09-25,129.940002,129.940002,129.940002,129.940002,129.940002,0
2023-09-26,127.639999,127.639999,127.639999,127.639999,127.639999,0
2023-09-27,128.289993,128.289993,128.289993,128.289993,128.289993,0
2023-09-28,128.169998,128.169998,128.169998,128.169998,128.169998,0
2023-09-29,129.539993,129.539993,129.539993,129.539993,129.539993,0
2023-10-02,130.509995,130.509995,130.509995,130.509995,130.509995,0
2023-10-03,128.300003,128.300003,128.300003,128.300003,128.300003,0
2023-10-04,null,null,null,null,null,null
2023-10-05,128.410004,128.410004,128.410004,128.410004,128.410004,0
2023-10-06,129.699997,129.699997,129.699997,129.699997,129.699997,0
2023-10-09,129.630005,129.630005,129.630005,129.630005,129.630005,0
2023-10-10,130.770004,130.770004,130.770004,130.770004,130.770004,0
2023-10-11,130.639999,130.639999,130.639999,130.639999,130.639999,0
2023-10-12,131.289993,131.289993,131.289993,131.289993,131.289993,0
