Class,7  Li  [ No Gas ] ,9  Be  [ No Gas ] ,11  B  [ No Gas ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,28  Si  [ He ] ,31  P  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,47  Ti  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,71  Ga  [ He ] ,72  Ge  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,85  Rb  [ He ] ,88  Sr  [ He ] ,93  Nb  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,133  Cs  [ He ] ,135  Ba  [ He ] ,181  Ta  [ He ] ,182  W  [ He ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] 
Alaskan,31.50 ,0.30 ,585.30 ,2196247.20 ,1247767.80 ,1013.70 ,60578.70 ,10090572.60 ,13429236.90 ,58146.90 ,671.10 ,6.60 ,7.20 ,159.90 ,8456.70 ,3.60 ,21.00 ,1115.70 ,12265.80 ,0.30 ,0.00 ,1468.50 ,1735.50 ,3100.20 ,968.10 ,6.30 ,6.30 ,0.60 ,4.20 ,73.80 ,15.90 ,4.50 ,0.30 ,1.50 ,15.90 ,16.20 ,16.50 
Alaskan,36.60 ,0.30 ,502.50 ,2876047.50 ,1350311.70 ,1268.40 ,66701.10 ,11539781.70 ,16758281.10 ,77490.90 ,766.50 ,6.30 ,37.50 ,222.90 ,11124.60 ,5.10 ,28.20 ,1227.90 ,15113.10 ,0.00 ,0.00 ,1598.10 ,2316.30 ,3864.00 ,1216.20 ,3.90 ,7.80 ,2.40 ,5.10 ,94.50 ,54.00 ,3.30 ,0.30 ,2.10 ,0.00 ,0.00 ,0.30 
Alaskan,24.90 ,0.00 ,463.20 ,2115120.30 ,1210523.40 ,1702.20 ,74010.00 ,9626120.40 ,13600659.00 ,81332.40 ,650.40 ,5.70 ,37.50 ,147.00 ,8486.70 ,5.40 ,23.70 ,1113.30 ,12480.00 ,0.30 ,0.00 ,2247.00 ,1614.90 ,3392.40 ,1452.00 ,3.00 ,6.90 ,1.50 ,4.20 ,77.70 ,16.50 ,2.40 ,0.60 ,1.80 ,0.90 ,0.90 ,0.90 
Alaskan,39.60 ,0.00 ,576.60 ,2565607.50 ,1165369.20 ,557.10 ,63441.60 ,9309104.10 ,12375358.50 ,83471.40 ,600.60 ,5.70 ,9.30 ,218.10 ,9975.90 ,5.70 ,21.90 ,1215.30 ,16421.10 ,0.30 ,0.00 ,1698.00 ,1927.20 ,2837.40 ,1573.50 ,4.20 ,6.00 ,0.30 ,9.00 ,66.30 ,13.50 ,2.70 ,0.00 ,1.20 ,0.30 ,0.30 ,0.30 
Alaskan,49.20 ,0.00 ,1006.20 ,2872359.00 ,1311463.20 ,835.50 ,31564.20 ,10138056.90 ,12626807.40 ,90507.30 ,646.20 ,12.30 ,39.60 ,199.50 ,7118.70 ,3.60 ,23.10 ,1228.20 ,13732.80 ,0.30 ,0.30 ,1534.50 ,1728.60 ,2898.00 ,1679.40 ,31.80 ,10.80 ,4.50 ,4.50 ,66.30 ,21.60 ,17.40 ,5.10 ,1.80 ,1.20 ,1.20 ,1.20 
Alaskan,41.10 ,0.30 ,831.90 ,2933749.20 ,1360235.10 ,912.60 ,57388.50 ,11194482.00 ,13653555.00 ,95617.80 ,726.00 ,5.10 ,18.30 ,287.10 ,22206.00 ,6.60 ,56.70 ,1837.50 ,18234.30 ,0.30 ,0.30 ,2382.60 ,2112.60 ,3165.90 ,1789.20 ,5.70 ,12.90 ,1.20 ,7.50 ,74.40 ,26.10 ,4.20 ,0.30 ,1.80 ,19.50 ,20.70 ,20.10 
Alaskan,27.90 ,0.30 ,375.30 ,2257525.20 ,1108884.00 ,3608.70 ,62989.20 ,9226561.50 ,11847068.40 ,143207.70 ,652.80 ,15.90 ,17.70 ,271.20 ,10594.50 ,7.20 ,47.10 ,1357.80 ,17576.10 ,0.30 ,0.30 ,2354.70 ,1752.60 ,2733.60 ,2223.30 ,5.10 ,12.30 ,38.40 ,5.70 ,62.40 ,24.60 ,3.90 ,0.00 ,1.50 ,1.50 ,1.50 ,1.50 
Alaskan,31.20 ,0.00 ,493.50 ,2340692.70 ,1328554.20 ,1067.10 ,57293.70 ,11315381.70 ,14950133.40 ,103713.60 ,759.00 ,12.90 ,204.30 ,271.50 ,13975.50 ,6.00 ,54.00 ,1794.90 ,16659.30 ,0.30 ,0.00 ,3895.80 ,2001.60 ,3409.80 ,1593.90 ,9.30 ,8.40 ,1.50 ,9.30 ,75.60 ,19.80 ,6.00 ,0.90 ,1.50 ,29.10 ,30.00 ,29.70 
Alaskan,38.40 ,0.30 ,1026.60 ,3068021.40 ,1279914.00 ,1309.80 ,77718.30 ,9522243.90 ,12855697.80 ,90430.80 ,675.90 ,3.60 ,24.30 ,191.40 ,12732.30 ,6.00 ,23.70 ,1353.30 ,18518.40 ,0.00 ,0.00 ,1704.60 ,1650.00 ,3005.40 ,2172.90 ,4.20 ,9.60 ,1.20 ,4.50 ,76.20 ,54.60 ,3.90 ,0.60 ,2.10 ,1.80 ,2.10 ,1.80 
Alaskan,57.00 ,0.00 ,1290.60 ,3424145.70 ,1470163.20 ,2435.70 ,36486.60 ,13596352.50 ,16826048.40 ,82941.00 ,785.70 ,38.40 ,25.80 ,280.50 ,17329.20 ,8.70 ,33.90 ,2433.90 ,17498.10 ,0.90 ,0.60 ,1747.80 ,2118.00 ,4017.60 ,1917.30 ,43.50 ,17.40 ,6.60 ,6.90 ,93.00 ,15.00 ,27.00 ,6.30 ,3.60 ,0.30 ,0.30 ,0.30 
